,index,y,x,date,label,sample_id
192,161,-0.92083208,28.80237899,2021-03-07,0.0,540532466
99,297,-2.76314127,30.58598999,2021-03-07,0.0,540532601
276,173,-1.552643301,29.01129612,2021-04-13,1.0,543847582
32,1048,-2.653864197,29.95492667,2021-04-16,0.0,547811303
15,817,-1.499220245,29.48868095,2021-03-09,0.0,540573289
176,227,-2.553551726,30.74290242,2021-04-14,0.0,547702377
73,318,-2.70886289,29.48293173,2021-04-13,0.0,543847812
351,250,-1.345229921,30.74649568,2021-03-07,1.0,540532555
297,1014,-1.130434166,29.96211319,2021-04-16,1.0,547811253
22,1061,-0.866318724,30.32470882,2021-04-15,0.0,547800016
327,1056,-1.657150675,29.64631203,2021-04-16,1.0,547811311
317,1092,-1.500477455,28.79824674,2021-04-16,1.0,547811347
236,442,-1.393088707,30.37851016,2021-04-14,1.0,547702176
66,59,-1.393807147,30.63871335,2021-04-13,0.0,543841452
209,420,-0.764116303,30.26964985,2021-04-15,0.0,547799858
53,671,-2.703837936,30.74829231,2021-04-14,0.0,547702556
5,396,-3.019424331,31.00741753,2021-03-07,0.0,540532700
240,622,-2.760628909,29.48239274,2021-04-14,1.0,547702465
202,344,-2.077096549,29.22434551,2021-03-07,0.0,540532648
140,976,-1.447053125,30.16384381,2021-04-14,0.0,547703039
206,398,-1.024826485,30.53578192,2021-04-15,0.0,547799836
49,188,-1.393088707,30.801375,2021-04-14,0.0,547702296
80,400,-2.129784379,29.37640704,2021-03-07,0.0,540532704
103,1168,-2.391041537,29.2200336,2021-03-09,0.0,540574054
127,843,-1.498501838,29.90849152,2021-04-15,0.0,547807214
228,846,-0.816654996,30.58760696,2021-03-09,0.0,540573318
301,842,-1.548512563,29.54050599,2021-04-14,1.0,547702808
233,147,-2.867742905,28.7527099,2021-04-13,1.0,543847549
37,984,-2.027638874,29.79999053,2021-04-16,0.0,547811223
70,1122,-1.442562977,28.90513076,2021-04-15,0.0,547800184
298,1118,-2.706350416,29.43416096,2021-04-15,1.0,547800175
76,627,-1.973870339,28.85474302,2021-04-15,0.0,547800145
292,1090,-1.974049896,30.21926211,2021-03-09,1.0,540573977
289,172,-1.392190657,30.22213672,2021-04-13,1.0,543847633
262,938,-2.756501447,28.64510723,2021-04-15,1.0,547809150
243,404,-1.289826271,30.11363573,2021-04-15,1.0,547799842
156,320,-2.023509206,28.85061077,2021-03-07,0.0,540532624
315,515,-2.178341149,30.11938495,2021-03-08,1.0,540532820
43,804,-1.232445579,29.37640704,2021-04-15,0.0,547800473
144,123,-2.912683512,29.42931006,2021-04-13,0.0,543847520
182,644,-1.863634581,29.85415119,2021-04-14,0.0,547702501
122,641,-1.133847098,28.74911664,2021-04-15,0.0,547800189
48,724,-2.021534144,28.96216603,2021-03-08,0.0,540568376
219,371,-2.497110313,29.17162215,2021-03-07,0.0,540532675
285,651,-2.914118959,30.64122863,2021-03-08,1.0,540540755
138,291,-1.500836658,28.48945244,2021-04-13,0.0,543847795
172,118,-0.812702809,30.74829231,2021-04-13,0.0,543847515
81,687,-0.865959439,29.58694114,2021-04-15,0.0,547800273
0,875,-2.915016112,29.69867607,2021-04-14,0.0,547702841
59,923,-1.65284056,29.4305677,2021-03-09,0.0,540573406
139,11,-1.555157659,30.27018884,2021-04-13,0.0,543839987
160,800,-2.182649941,29.58640215,2021-04-14,0.0,547702764
265,721,-2.917886998,29.16587294,2021-04-15,1.0,547800387
108,516,-1.919202254,29.00985882,2021-04-15,0.0,547799954
320,750,-1.712185851,28.64834116,2021-04-14,1.0,547702706
95,732,-1.291263211,28.64726319,2021-04-14,0.0,547702686
34,595,-0.761601243,28.48657783,2021-04-15,0.0,547800083
64,30,-1.865071125,29.32637863,2021-04-13,0.0,543840004
100,479,-2.23030737,29.96067589,2021-04-14,0.0,547702213
56,1078,-0.816475352,28.80148067,2021-04-15,0.0,547800092
23,1188,-1.286413536,28.43349515,2021-04-16,0.0,547811449
231,572,-0.969955487,29.48580634,2021-03-08,0.0,540532877
52,957,-1.024107947,30.90268946,2021-04-15,0.0,547809170
18,353,-1.862916309,29.32979223,2021-04-14,0.0,547702656
207,1120,-2.705094176,28.59112623,2021-04-15,0.0,547800219
50,497,-0.977679883,30.95936541,2021-04-14,0.0,547702232
24,268,-1.127919372,30.90807936,2021-03-07,0.0,540532572
268,219,-2.285144082,30.05947507,2021-04-14,1.0,547702342
270,980,-0.767349949,30.95217889,2021-03-09,1.0,540573868
345,287,-1.081492853,30.32470882,2021-04-14,1.0,547702513
13,635,-1.082391008,29.9601369,2021-03-08,0.0,540532942
357,1186,-1.810220036,30.11579169,2021-03-09,1.0,540574072
123,882,-2.606401121,29.01381141,2021-03-09,0.0,540573354
247,1133,-2.0805079,29.48580634,2021-04-15,1.0,547800211
334,655,-1.183865275,30.48144159,2021-04-14,1.0,547702530
272,190,-2.96946423,29.21895562,2021-04-14,1.0,547702298
187,571,-3.025524378,29.06617544,2021-03-08,0.0,540532876
255,1194,-2.021354592,29.48634533,2021-03-09,1.0,540574080
259,163,-2.707606654,29.21877596,2021-04-13,1.0,543847620
112,715,-1.343254172,28.59058724,2021-03-08,0.0,540568367
158,510,-1.917047505,29.90741354,2021-03-08,0.0,540532815
126,1091,-1.657689438,30.85499667,2021-03-09,0.0,540573978
302,456,-1.443281401,28.9112393,2021-03-08,1.0,540532760
60,951,-1.081492853,30.58832561,2021-03-09,0.0,540573839
282,717,-1.028059901,30.22177739,2021-04-15,1.0,547800383
45,1171,-3.021397879,29.06168386,2021-04-16,0.0,547811426
300,1126,-2.287118802,28.91105964,2021-04-16,1.0,547811381
230,1025,-2.60514478,28.69836958,2021-03-09,0.0,540573913
106,901,-2.658171478,30.85499667,2021-04-14,0.0,547702867
333,251,-1.026802461,30.42961655,2021-04-14,1.0,547702430
121,713,-0.817014286,30.27090749,2021-04-14,0.0,547702664
318,56,-2.338004052,28.90495109,2021-04-13,1.0,543841449
191,1114,-1.132589702,29.48203342,2021-03-09,0.0,540574001
341,1170,-1.081672484,30.74793299,2021-04-16,1.0,547811425
47,171,-1.75895886,29.74618919,2021-04-13,0.0,543847632
134,415,-1.654456854,29.22506416,2021-04-15,0.0,547799853
82,186,-1.917765755,29.22578282,2021-03-07,0.0,540532491
323,716,-1.970997434,29.74367391,2021-03-08,1.0,540568368
204,485,-1.446693914,29.17054417,2021-04-15,0.0,547799923
131,29,-0.818271799,28.53570793,2021-04-13,0.0,543847356
