Input,Label
hls_train/hls_train/chips/chip_20190701_S30_T42RYS_2019151T054649_9_2.tif,hls_train/hls_train/seg_maps/seg_map_20190701_S30_T42RYS_2019151T054649_9_2.tif
hls_train/hls_train/chips/chip_20201101_S30_T38PMV_2020276T072729_2_9.tif,hls_train/hls_train/seg_maps/seg_map_20201101_S30_T38PMV_2020276T072729_2_9.tif
hls_train/hls_train/chips/chip_20181001_S30_T28QFF_2018245T112109_3_10.tif,hls_train/hls_train/seg_maps/seg_map_20181001_S30_T28QFF_2018245T112109_3_10.tif
hls_train/hls_train/chips/chip_20190901_S30_T42RXR_2019214T055649_6_3.tif,hls_train/hls_train/seg_maps/seg_map_20190901_S30_T42RXR_2019214T055649_6_3.tif
hls_train/hls_train/chips/chip_20180201_S30_T42RTN_2018002T061229_11_0.tif,hls_train/hls_train/seg_maps/seg_map_20180201_S30_T42RTN_2018002T061229_11_0.tif
hls_train/hls_train/chips/chip_20190801_S30_T42RYQ_2019181T054649_11_2.tif,hls_train/hls_train/seg_maps/seg_map_20190801_S30_T42RYQ_2019181T054649_11_2.tif
hls_train/hls_train/chips/chip_20200601_L30_T38NLP_2020126T072116_0_12.tif,hls_train/hls_train/seg_maps/seg_map_20200601_L30_T38NLP_2020126T072116_0_12.tif
hls_train/hls_train/chips/chip_20190901_S30_T42RWP_2019214T055649_4_3.tif,hls_train/hls_train/seg_maps/seg_map_20190901_S30_T42RWP_2019214T055649_4_3.tif
hls_train/hls_train/chips/chip_20201101_S30_T38NMN_2020278T071741_4_6.tif,hls_train/hls_train/seg_maps/seg_map_20201101_S30_T38NMN_2020278T071741_4_6.tif
hls_train/hls_train/chips/chip_20200601_S30_T42RTR_2020122T060629_10_8.tif,hls_train/hls_train/seg_maps/seg_map_20200601_S30_T42RTR_2020122T060629_10_8.tif
hls_train/hls_train/chips/chip_20170701_S30_T36PTC_2017151T082011_10_9.tif,hls_train/hls_train/seg_maps/seg_map_20170701_S30_T36PTC_2017151T082011_10_9.tif
hls_train/hls_train/chips/chip_20190501_S30_T41RPJ_2019090T061629_2_10.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T41RPJ_2019090T061629_2_10.tif
hls_train/hls_train/chips/chip_20190601_S30_T42QXL_2019121T054649_7_2.tif,hls_train/hls_train/seg_maps/seg_map_20190601_S30_T42QXL_2019121T054649_7_2.tif
hls_train/hls_train/chips/chip_20170101_L30_T28QFH_2016340T112000_9_9.tif,hls_train/hls_train/seg_maps/seg_map_20170101_L30_T28QFH_2016340T112000_9_9.tif
hls_train/hls_train/chips/chip_20200701_S30_T38QKF_2020154T073621_5_10.tif,hls_train/hls_train/seg_maps/seg_map_20200701_S30_T38QKF_2020154T073621_5_10.tif
hls_train/hls_train/chips/chip_20200601_L30_T37NBD_2020122T074714_8_7.tif,hls_train/hls_train/seg_maps/seg_map_20200601_L30_T37NBD_2020122T074714_8_7.tif
hls_train/hls_train/chips/chip_20201201_S30_T38PMV_2020306T073049_2_10.tif,hls_train/hls_train/seg_maps/seg_map_20201201_S30_T38PMV_2020306T073049_2_10.tif
hls_train/hls_train/chips/chip_20200501_L30_T42RWN_2020092T055014_9_1.tif,hls_train/hls_train/seg_maps/seg_map_20200501_L30_T42RWN_2020092T055014_9_1.tif
hls_train/hls_train/chips/chip_20160301_S30_T38PPV_2016029T072302_8_1.tif,hls_train/hls_train/seg_maps/seg_map_20160301_S30_T38PPV_2016029T072302_8_1.tif
hls_train/hls_train/chips/chip_20201001_S30_T37PFP_2020244T073621_2_11.tif,hls_train/hls_train/seg_maps/seg_map_20201001_S30_T37PFP_2020244T073621_2_11.tif
hls_train/hls_train/chips/chip_20200501_L30_T38RMQ_2020092T072843_3_3.tif,hls_train/hls_train/seg_maps/seg_map_20200501_L30_T38RMQ_2020092T072843_3_3.tif
hls_train/hls_train/chips/chip_20180901_S30_T42RTP_2018212T060629_9_7.tif,hls_train/hls_train/seg_maps/seg_map_20180901_S30_T42RTP_2018212T060629_9_7.tif
hls_train/hls_train/chips/chip_20180901_S30_T40REP_2018214T064619_7_5.tif,hls_train/hls_train/seg_maps/seg_map_20180901_S30_T40REP_2018214T064619_7_5.tif
hls_train/hls_train/chips/chip_20190201_L30_T38QMH_2019002T072443_9_3.tif,hls_train/hls_train/seg_maps/seg_map_20190201_L30_T38QMH_2019002T072443_9_3.tif
hls_train/hls_train/chips/chip_20200701_S30_T39RUQ_2020153T071619_5_7.tif,hls_train/hls_train/seg_maps/seg_map_20200701_S30_T39RUQ_2020153T071619_5_7.tif
hls_train/hls_train/chips/chip_20161201_S30_T36QYJ_2016304T081042_4_5.tif,hls_train/hls_train/seg_maps/seg_map_20161201_S30_T36QYJ_2016304T081042_4_5.tif
hls_train/hls_train/chips/chip_20190801_L30_T42RTP_2019183T060249_6_7.tif,hls_train/hls_train/seg_maps/seg_map_20190801_L30_T42RTP_2019183T060249_6_7.tif
hls_train/hls_train/chips/chip_20180701_S30_T37QBU_2018150T075611_5_0.tif,hls_train/hls_train/seg_maps/seg_map_20180701_S30_T37QBU_2018150T075611_5_0.tif
hls_train/hls_train/chips/chip_20200301_S30_T39PTM_2020030T071209_7_3.tif,hls_train/hls_train/seg_maps/seg_map_20200301_S30_T39PTM_2020030T071209_7_3.tif
hls_train/hls_train/chips/chip_20191201_S30_T37QFC_2019304T074009_9_10.tif,hls_train/hls_train/seg_maps/seg_map_20191201_S30_T37QFC_2019304T074009_9_10.tif
hls_train/hls_train/chips/chip_20190501_L30_T38QNH_2019091T071812_10_5.tif,hls_train/hls_train/seg_maps/seg_map_20190501_L30_T38QNH_2019091T071812_10_5.tif
hls_train/hls_train/chips/chip_20200601_S30_T37NCB_2020124T073621_5_3.tif,hls_train/hls_train/seg_maps/seg_map_20200601_S30_T37NCB_2020124T073621_5_3.tif
hls_train/hls_train/chips/chip_20180801_L30_T42RVR_2018182T054912_12_12.tif,hls_train/hls_train/seg_maps/seg_map_20180801_L30_T42RVR_2018182T054912_12_12.tif
hls_train/hls_train/chips/chip_20190901_S30_T42RXR_2019214T055649_2_7.tif,hls_train/hls_train/seg_maps/seg_map_20190901_S30_T42RXR_2019214T055649_2_7.tif
hls_train/hls_train/chips/chip_20200501_S30_T37NHG_2020091T072611_1_0.tif,hls_train/hls_train/seg_maps/seg_map_20200501_S30_T37NHG_2020091T072611_1_0.tif
hls_train/hls_train/chips/chip_20180201_S30_T42RTP_2018002T061229_8_11.tif,hls_train/hls_train/seg_maps/seg_map_20180201_S30_T42RTP_2018002T061229_8_11.tif
hls_train/hls_train/chips/chip_20190601_S30_T41RKK_2019121T063631_2_2.tif,hls_train/hls_train/seg_maps/seg_map_20190601_S30_T41RKK_2019121T063631_2_2.tif
hls_train/hls_train/chips/chip_20200401_L30_T41RMH_2020063T062123_0_1.tif,hls_train/hls_train/seg_maps/seg_map_20200401_L30_T41RMH_2020063T062123_0_1.tif
hls_train/hls_train/chips/chip_20200601_S30_T35PLR_2020122T083601_1_10.tif,hls_train/hls_train/seg_maps/seg_map_20200601_S30_T35PLR_2020122T083601_1_10.tif
hls_train/hls_train/chips/chip_20170701_L30_T42RVQ_2017154T055557_10_2.tif,hls_train/hls_train/seg_maps/seg_map_20170701_L30_T42RVQ_2017154T055557_10_2.tif
hls_train/hls_train/chips/chip_20170701_S30_T36QUE_2017151T082011_11_6.tif,hls_train/hls_train/seg_maps/seg_map_20170701_S30_T36QUE_2017151T082011_11_6.tif
hls_train/hls_train/chips/chip_20200101_S30_T42RWR_2019334T060209_9_3.tif,hls_train/hls_train/seg_maps/seg_map_20200101_S30_T42RWR_2019334T060209_9_3.tif
hls_train/hls_train/chips/chip_20200201_S30_T40QDF_2020001T064249_7_8.tif,hls_train/hls_train/seg_maps/seg_map_20200201_S30_T40QDF_2020001T064249_7_8.tif
hls_train/hls_train/chips/chip_20190501_L30_T41RLJ_2019092T062059_0_9.tif,hls_train/hls_train/seg_maps/seg_map_20190501_L30_T41RLJ_2019092T062059_0_9.tif
hls_train/hls_train/chips/chip_20200601_S30_T38NPM_2020125T070631_10_4.tif,hls_train/hls_train/seg_maps/seg_map_20200601_S30_T38NPM_2020125T070631_10_4.tif
hls_train/hls_train/chips/chip_20201201_L30_T37QDU_2020305T075041_10_3.tif,hls_train/hls_train/seg_maps/seg_map_20201201_L30_T37QDU_2020305T075041_10_3.tif
hls_train/hls_train/chips/chip_20190701_S30_T42RYR_2019151T054649_10_5.tif,hls_train/hls_train/seg_maps/seg_map_20190701_S30_T42RYR_2019151T054649_10_5.tif
hls_train/hls_train/chips/chip_20190501_S30_T40RFR_2019091T063631_1_9.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T40RFR_2019091T063631_1_9.tif
hls_train/hls_train/chips/chip_20200701_S30_T43RCK_2020153T053649_4_11.tif,hls_train/hls_train/seg_maps/seg_map_20200701_S30_T43RCK_2020153T053649_4_11.tif
hls_train/hls_train/chips/chip_20170401_S30_T38RLN_2017059T075211_8_2.tif,hls_train/hls_train/seg_maps/seg_map_20170401_S30_T38RLN_2017059T075211_8_2.tif
hls_train/hls_train/chips/chip_20171201_S30_T37QBD_2017305T080051_2_6.tif,hls_train/hls_train/seg_maps/seg_map_20171201_S30_T37QBD_2017305T080051_2_6.tif
hls_train/hls_train/chips/chip_20190201_S30_T37QCB_2018365T080329_2_10.tif,hls_train/hls_train/seg_maps/seg_map_20190201_S30_T37QCB_2018365T080329_2_10.tif
hls_train/hls_train/chips/chip_20200801_S30_T37PFN_2020184T073621_7_6.tif,hls_train/hls_train/seg_maps/seg_map_20200801_S30_T37PFN_2020184T073621_7_6.tif
hls_train/hls_train/chips/chip_20190201_S30_T37QCB_2018365T080329_2_7.tif,hls_train/hls_train/seg_maps/seg_map_20190201_S30_T37QCB_2018365T080329_2_7.tif
hls_train/hls_train/chips/chip_20160301_L30_T40RGP_2016034T063351_5_9.tif,hls_train/hls_train/seg_maps/seg_map_20160301_L30_T40RGP_2016034T063351_5_9.tif
hls_train/hls_train/chips/chip_20201001_L30_T38PKC_2020245T072611_11_6.tif,hls_train/hls_train/seg_maps/seg_map_20201001_L30_T38PKC_2020245T072611_11_6.tif
hls_train/hls_train/chips/chip_20170101_S30_T37QFC_2016338T075302_11_11.tif,hls_train/hls_train/seg_maps/seg_map_20170101_S30_T37QFC_2016338T075302_11_11.tif
hls_train/hls_train/chips/chip_20200101_S30_T37QDG_2019335T080301_8_8.tif,hls_train/hls_train/seg_maps/seg_map_20200101_S30_T37QDG_2019335T080301_8_8.tif
hls_train/hls_train/chips/chip_20190501_S30_T42QVM_2019089T055641_6_10.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T42QVM_2019089T055641_6_10.tif
hls_train/hls_train/chips/chip_20180801_L30_T42RXR_2018182T054848_1_2.tif,hls_train/hls_train/seg_maps/seg_map_20180801_L30_T42RXR_2018182T054848_1_2.tif
hls_train/hls_train/chips/chip_20160401_L30_T43RDM_2016060T053106_0_11.tif,hls_train/hls_train/seg_maps/seg_map_20160401_L30_T43RDM_2016060T053106_0_11.tif
hls_train/hls_train/chips/chip_20180701_L30_T36QYE_2018153T080106_0_7.tif,hls_train/hls_train/seg_maps/seg_map_20180701_L30_T36QYE_2018153T080106_0_7.tif
hls_train/hls_train/chips/chip_20191101_S30_T37QGA_2019274T073719_8_4.tif,hls_train/hls_train/seg_maps/seg_map_20191101_S30_T37QGA_2019274T073719_8_4.tif
hls_train/hls_train/chips/chip_20201101_L30_T39NTG_2020274T065814_4_8.tif,hls_train/hls_train/seg_maps/seg_map_20201101_L30_T39NTG_2020274T065814_4_8.tif
hls_train/hls_train/chips/chip_20191001_S30_T40QBG_2019244T064621_3_9.tif,hls_train/hls_train/seg_maps/seg_map_20191001_S30_T40QBG_2019244T064621_3_9.tif
hls_train/hls_train/chips/chip_20190201_S30_T37PET_2019002T075321_4_7.tif,hls_train/hls_train/seg_maps/seg_map_20190201_S30_T37PET_2019002T075321_4_7.tif
hls_train/hls_train/chips/chip_20191001_S30_T37QGA_2019244T073619_5_2.tif,hls_train/hls_train/seg_maps/seg_map_20191001_S30_T37QGA_2019244T073619_5_2.tif
hls_train/hls_train/chips/chip_20161201_L30_T38QKE_2016305T073146_0_6.tif,hls_train/hls_train/seg_maps/seg_map_20161201_L30_T38QKE_2016305T073146_0_6.tif
hls_train/hls_train/chips/chip_20180601_S30_T42QXL_2018121T054641_4_2.tif,hls_train/hls_train/seg_maps/seg_map_20180601_S30_T42QXL_2018121T054641_4_2.tif
hls_train/hls_train/chips/chip_20160401_L30_T39QVV_2016062T070024_0_11.tif,hls_train/hls_train/seg_maps/seg_map_20160401_L30_T39QVV_2016062T070024_0_11.tif
hls_train/hls_train/chips/chip_20190401_L30_T39RUP_2019059T071533_12_6.tif,hls_train/hls_train/seg_maps/seg_map_20190401_L30_T39RUP_2019059T071533_12_6.tif
hls_train/hls_train/chips/chip_20200301_L30_T41RLH_2020031T062132_12_2.tif,hls_train/hls_train/seg_maps/seg_map_20200301_L30_T41RLH_2020031T062132_12_2.tif
hls_train/hls_train/chips/chip_20200201_L30_T37QGB_2020003T073724_3_9.tif,hls_train/hls_train/seg_maps/seg_map_20200201_L30_T37QGB_2020003T073724_3_9.tif
hls_train/hls_train/chips/chip_20200401_L30_T42RWS_2020060T054943_4_8.tif,hls_train/hls_train/seg_maps/seg_map_20200401_L30_T42RWS_2020060T054943_4_8.tif
hls_train/hls_train/chips/chip_20200201_S30_T38NQN_2019365T071309_2_10.tif,hls_train/hls_train/seg_maps/seg_map_20200201_S30_T38NQN_2019365T071309_2_10.tif
hls_train/hls_train/chips/chip_20170801_S30_T38PPB_2017183T071731_5_8.tif,hls_train/hls_train/seg_maps/seg_map_20170801_S30_T38PPB_2017183T071731_5_8.tif
hls_train/hls_train/chips/chip_20160401_L30_T42QVL_2016065T055113_10_3.tif,hls_train/hls_train/seg_maps/seg_map_20160401_L30_T42QVL_2016065T055113_10_3.tif
hls_train/hls_train/chips/chip_20200201_S30_T42QWL_2020001T055231_5_7.tif,hls_train/hls_train/seg_maps/seg_map_20200201_S30_T42QWL_2020001T055231_5_7.tif
hls_train/hls_train/chips/chip_20190201_S30_T39QUU_2018365T071311_3_5.tif,hls_train/hls_train/seg_maps/seg_map_20190201_S30_T39QUU_2018365T071311_3_5.tif
hls_train/hls_train/chips/chip_20190701_S30_T42RXQ_2019151T054649_3_11.tif,hls_train/hls_train/seg_maps/seg_map_20190701_S30_T42RXQ_2019151T054649_3_11.tif
hls_train/hls_train/chips/chip_20170201_L30_T42RYN_2017005T053847_6_8.tif,hls_train/hls_train/seg_maps/seg_map_20170201_L30_T42RYN_2017005T053847_6_8.tif
hls_train/hls_train/chips/chip_20191001_L30_T42RYQ_2019242T054409_1_9.tif,hls_train/hls_train/seg_maps/seg_map_20191001_L30_T42RYQ_2019242T054409_1_9.tif
hls_train/hls_train/chips/chip_20200501_S30_T41RPL_2020095T061629_9_4.tif,hls_train/hls_train/seg_maps/seg_map_20200501_S30_T41RPL_2020095T061629_9_4.tif
hls_train/hls_train/chips/chip_20201001_S30_T36QVG_2020246T081611_9_7.tif,hls_train/hls_train/seg_maps/seg_map_20201001_S30_T36QVG_2020246T081611_9_7.tif
hls_train/hls_train/chips/chip_20161201_S30_T39PWS_2016303T070912_7_0.tif,hls_train/hls_train/seg_maps/seg_map_20161201_S30_T39PWS_2016303T070912_7_0.tif
hls_train/hls_train/chips/chip_20190701_L30_T42RVQ_2019153T054953_9_5.tif,hls_train/hls_train/seg_maps/seg_map_20190701_L30_T42RVQ_2019153T054953_9_5.tif
hls_train/hls_train/chips/chip_20191001_L30_T42RYR_2019242T054409_10_9.tif,hls_train/hls_train/seg_maps/seg_map_20191001_L30_T42RYR_2019242T054409_10_9.tif
hls_train/hls_train/chips/chip_20170401_L30_T42QWM_2017060T054437_6_9.tif,hls_train/hls_train/seg_maps/seg_map_20170401_L30_T42QWM_2017060T054437_6_9.tif
hls_train/hls_train/chips/chip_20190801_S30_T43RCM_2019183T053651_7_9.tif,hls_train/hls_train/seg_maps/seg_map_20190801_S30_T43RCM_2019183T053651_7_9.tif
hls_train/hls_train/chips/chip_20200801_S30_T43RDL_2020183T053649_3_2.tif,hls_train/hls_train/seg_maps/seg_map_20200801_S30_T43RDL_2020183T053649_3_2.tif
hls_train/hls_train/chips/chip_20201001_S30_T37PEQ_2020244T073621_12_3.tif,hls_train/hls_train/seg_maps/seg_map_20201001_S30_T37PEQ_2020244T073621_12_3.tif
hls_train/hls_train/chips/chip_20161001_S30_T28QDG_2016244T113322_12_9.tif,hls_train/hls_train/seg_maps/seg_map_20161001_S30_T28QDG_2016244T113322_12_9.tif
hls_train/hls_train/chips/chip_20181101_S30_T37QGB_2018274T073721_3_12.tif,hls_train/hls_train/seg_maps/seg_map_20181101_S30_T37QGB_2018274T073721_3_12.tif
hls_train/hls_train/chips/chip_20181101_S30_T31QHV_2018276T100021_0_4.tif,hls_train/hls_train/seg_maps/seg_map_20181101_S30_T31QHV_2018276T100021_0_4.tif
hls_train/hls_train/chips/chip_20180301_L30_T43RCK_2018033T053128_12_0.tif,hls_train/hls_train/seg_maps/seg_map_20180301_L30_T43RCK_2018033T053128_12_0.tif
hls_train/hls_train/chips/chip_20170101_S30_T37QDV_2016338T075302_6_3.tif,hls_train/hls_train/seg_maps/seg_map_20170101_S30_T37QDV_2016338T075302_6_3.tif
hls_train/hls_train/chips/chip_20190501_S30_T40RER_2019091T063631_6_10.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T40RER_2019091T063631_6_10.tif
hls_train/hls_train/chips/chip_20191001_S30_T42RXR_2019244T055639_4_3.tif,hls_train/hls_train/seg_maps/seg_map_20191001_S30_T42RXR_2019244T055639_4_3.tif
hls_train/hls_train/chips/chip_20201101_S30_T37QED_2020277T074751_2_6.tif,hls_train/hls_train/seg_maps/seg_map_20201101_S30_T37QED_2020277T074751_2_6.tif
hls_train/hls_train/chips/chip_20201101_S30_T38QLF_2020276T072729_0_7.tif,hls_train/hls_train/seg_maps/seg_map_20201101_S30_T38QLF_2020276T072729_0_7.tif
hls_train/hls_train/chips/chip_20200801_S30_T43RDM_2020183T053649_5_9.tif,hls_train/hls_train/seg_maps/seg_map_20200801_S30_T43RDM_2020183T053649_5_9.tif
hls_train/hls_train/chips/chip_20180701_S30_T40RDN_2018149T064631_3_0.tif,hls_train/hls_train/seg_maps/seg_map_20180701_S30_T40RDN_2018149T064631_3_0.tif
hls_train/hls_train/chips/chip_20200301_S30_T36QVF_2020031T082059_3_0.tif,hls_train/hls_train/seg_maps/seg_map_20200301_S30_T36QVF_2020031T082059_3_0.tif
hls_train/hls_train/chips/chip_20191101_L30_T32QNF_2019275T094745_2_3.tif,hls_train/hls_train/seg_maps/seg_map_20191101_L30_T32QNF_2019275T094745_2_3.tif
hls_train/hls_train/chips/chip_20200401_S30_T37QCB_2020060T075841_1_5.tif,hls_train/hls_train/seg_maps/seg_map_20200401_S30_T37QCB_2020060T075841_1_5.tif
hls_train/hls_train/chips/chip_20200401_L30_T41RLH_2020063T062123_11_0.tif,hls_train/hls_train/seg_maps/seg_map_20200401_L30_T41RLH_2020063T062123_11_0.tif
hls_train/hls_train/chips/chip_20171101_S30_T34QEE_2017273T090021_1_11.tif,hls_train/hls_train/seg_maps/seg_map_20171101_S30_T34QEE_2017273T090021_1_11.tif
hls_train/hls_train/chips/chip_20190201_S30_T43RDM_2019003T054221_12_6.tif,hls_train/hls_train/seg_maps/seg_map_20190201_S30_T43RDM_2019003T054221_12_6.tif
hls_train/hls_train/chips/chip_20201101_L30_T40RBR_2020274T065215_3_4.tif,hls_train/hls_train/seg_maps/seg_map_20201101_L30_T40RBR_2020274T065215_3_4.tif
hls_train/hls_train/chips/chip_20190501_S30_T39QTU_2019090T070621_10_9.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T39QTU_2019090T070621_10_9.tif
hls_train/hls_train/chips/chip_20180401_S30_T43RBL_2018061T054741_0_9.tif,hls_train/hls_train/seg_maps/seg_map_20180401_S30_T43RBL_2018061T054741_0_9.tif
hls_train/hls_train/chips/chip_20170801_L30_T36QYF_2017182T080206_9_7.tif,hls_train/hls_train/seg_maps/seg_map_20170801_L30_T36QYF_2017182T080206_9_7.tif
hls_train/hls_train/chips/chip_20190501_S30_T38RLP_2019089T073611_10_6.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T38RLP_2019089T073611_10_6.tif
hls_train/hls_train/chips/chip_20200501_S30_T41RLH_2020093T062621_12_2.tif,hls_train/hls_train/seg_maps/seg_map_20200501_S30_T41RLH_2020093T062621_12_2.tif
hls_train/hls_train/chips/chip_20170301_S30_T37QEF_2017032T075131_6_9.tif,hls_train/hls_train/seg_maps/seg_map_20170301_S30_T37QEF_2017032T075131_6_9.tif
hls_train/hls_train/chips/chip_20161001_S30_T36QYM_2016244T080612_2_5.tif,hls_train/hls_train/seg_maps/seg_map_20161001_S30_T36QYM_2016244T080612_2_5.tif
hls_train/hls_train/chips/chip_20160601_S30_T42QWM_2016122T054622_8_12.tif,hls_train/hls_train/seg_maps/seg_map_20160601_S30_T42QWM_2016122T054622_8_12.tif
hls_train/hls_train/chips/chip_20190501_S30_T37RFJ_2019092T074611_9_1.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T37RFJ_2019092T074611_9_1.tif
hls_train/hls_train/chips/chip_20190201_S30_T37QDU_2019002T075321_12_5.tif,hls_train/hls_train/seg_maps/seg_map_20190201_S30_T37QDU_2019002T075321_12_5.tif
hls_train/hls_train/chips/chip_20200501_S30_T39RYK_2020092T065621_11_0.tif,hls_train/hls_train/seg_maps/seg_map_20200501_S30_T39RYK_2020092T065621_11_0.tif
hls_train/hls_train/chips/chip_20170201_L30_T37QBE_2016365T075534_8_12.tif,hls_train/hls_train/seg_maps/seg_map_20170201_L30_T37QBE_2016365T075534_8_12.tif
hls_train/hls_train/chips/chip_20180101_S30_T37QBD_2017335T080301_1_0.tif,hls_train/hls_train/seg_maps/seg_map_20180101_S30_T37QBD_2017335T080301_1_0.tif
hls_train/hls_train/chips/chip_20200801_S30_T38PMS_2020183T071619_2_7.tif,hls_train/hls_train/seg_maps/seg_map_20200801_S30_T38PMS_2020183T071619_2_7.tif
hls_train/hls_train/chips/chip_20180401_S30_T41RQN_2018060T061801_9_10.tif,hls_train/hls_train/seg_maps/seg_map_20180401_S30_T41RQN_2018060T061801_9_10.tif
hls_train/hls_train/chips/chip_20171201_S30_T36QZK_2017303T081039_0_4.tif,hls_train/hls_train/seg_maps/seg_map_20171201_S30_T36QZK_2017303T081039_0_4.tif
hls_train/hls_train/chips/chip_20200401_S30_T41RNK_2020060T061801_12_11.tif,hls_train/hls_train/seg_maps/seg_map_20200401_S30_T41RNK_2020060T061801_12_11.tif
hls_train/hls_train/chips/chip_20200201_S30_T42RTP_2020002T061239_8_8.tif,hls_train/hls_train/seg_maps/seg_map_20200201_S30_T42RTP_2020002T061239_8_8.tif
hls_train/hls_train/chips/chip_20170401_L30_T41RMJ_2017063T061506_11_12.tif,hls_train/hls_train/seg_maps/seg_map_20170401_L30_T41RMJ_2017063T061506_11_12.tif
hls_train/hls_train/chips/chip_20190901_S30_T36QWL_2019216T081609_4_10.tif,hls_train/hls_train/seg_maps/seg_map_20190901_S30_T36QWL_2019216T081609_4_10.tif
hls_train/hls_train/chips/chip_20200701_S30_T43RCL_2020153T053649_4_2.tif,hls_train/hls_train/seg_maps/seg_map_20200701_S30_T43RCL_2020153T053649_4_2.tif
hls_train/hls_train/chips/chip_20200601_S30_T36NYH_2020122T074609_3_1.tif,hls_train/hls_train/seg_maps/seg_map_20200601_S30_T36NYH_2020122T074609_3_1.tif
hls_train/hls_train/chips/chip_20190901_L30_T37QHV_2019217T073130_1_2.tif,hls_train/hls_train/seg_maps/seg_map_20190901_L30_T37QHV_2019217T073130_1_2.tif
hls_train/hls_train/chips/chip_20190901_S30_T42RYQ_2019216T054641_12_0.tif,hls_train/hls_train/seg_maps/seg_map_20190901_S30_T42RYQ_2019216T054641_12_0.tif
hls_train/hls_train/chips/chip_20200701_S30_T40RBR_2020152T065631_10_11.tif,hls_train/hls_train/seg_maps/seg_map_20200701_S30_T40RBR_2020152T065631_10_11.tif
hls_train/hls_train/chips/chip_20190601_S30_T40RES_2019121T063631_10_10.tif,hls_train/hls_train/seg_maps/seg_map_20190601_S30_T40RES_2019121T063631_10_10.tif
hls_train/hls_train/chips/chip_20180401_S30_T42QVM_2018059T055749_12_12.tif,hls_train/hls_train/seg_maps/seg_map_20180401_S30_T42QVM_2018059T055749_12_12.tif
hls_train/hls_train/chips/chip_20200801_S30_T40RER_2020184T064629_12_6.tif,hls_train/hls_train/seg_maps/seg_map_20200801_S30_T40RER_2020184T064629_12_6.tif
hls_train/hls_train/chips/chip_20200701_S30_T36QYK_2020153T080611_12_0.tif,hls_train/hls_train/seg_maps/seg_map_20200701_S30_T36QYK_2020153T080611_12_0.tif
hls_train/hls_train/chips/chip_20170501_S30_T30RYR_2017090T103021_11_12.tif,hls_train/hls_train/seg_maps/seg_map_20170501_S30_T30RYR_2017090T103021_11_12.tif
hls_train/hls_train/chips/chip_20200201_S30_T42RTP_2020002T061239_4_1.tif,hls_train/hls_train/seg_maps/seg_map_20200201_S30_T42RTP_2020002T061239_4_1.tif
hls_train/hls_train/chips/chip_20191201_S30_T37QFD_2019307T075009_2_11.tif,hls_train/hls_train/seg_maps/seg_map_20191201_S30_T37QFD_2019307T075009_2_11.tif
