,Input,Label
33,train/chips/chip_20210101_L30_T37QDV_2020337T075019_8_10.tif,seg_map_20200501_S30_T40RFR_2020091T063629_8_7.tif
34,train/chips/chip_20210101_L30_T37QDU_2020337T075042_10_0.tif,seg_map_20200801_S30_T36MWT_2020182T074619_11_5.tif
35,train/chips/chip_20200501_S30_T39QTA_2020090T070619_11_7.tif,seg_map_20200201_L30_T37MBT_2020003T074323_7_0.tif
36,train/chips/chip_20201001_S30_T40QBJ_2020244T064629_5_4.tif,seg_map_20210301_S30_T43PFS_2021031T052039_2_10.tif
37,train/chips/chip_20201201_S30_T34NEF_2020307T084119_11_11.tif,seg_map_20200401_S30_T34PDR_2020063T085749_9_13.tif
38,train/chips/chip_20201001_L30_T35MPT_2020246T081415_9_7.tif,seg_map_20201001_L30_T35MPT_2020246T081415_9_7.tif
39,train/chips/chip_20200401_S30_T37NBB_2020064T073801_12_14.tif,seg_map_20210201_S30_T36KXA_2020366T073219_1_1.tif
40,train/chips/chip_20200101_S30_T38PKB_2019336T073251_14_6.tif,seg_map_20210101_L30_T36NYL_2020337T075354_11_6.tif
41,train/chips/chip_20210201_S30_T36KXA_2020366T073219_1_1.tif,seg_map_20200401_S30_T35RKH_2020060T084809_12_13.tif
42,train/chips/chip_20200501_S30_T40RFR_2020091T063629_8_7.tif,seg_map_20200101_L30_T37QGB_2019336T073731_7_11.tif
43,train/chips/chip_20210301_L30_T35QPA_2021029T082711_8_12.tif,seg_map_20200701_S30_T43RCM_2020153T053649_4_10.tif
44,train/chips/chip_20200501_S30_T41RPL_2020095T061629_11_5.tif,seg_map_20200301_S30_T40QEM_2020031T064109_11_10.tif
45,train/chips/chip_20210301_S30_T38KPE_2021028T071209_5_3.tif,seg_map_20201001_S30_T40QBJ_2020244T064629_5_4.tif
46,train/chips/chip_20200201_L30_T37MBT_2020003T074323_7_0.tif,seg_map_20200801_S30_T32QKH_2020186T100031_0_14.tif
47,train/chips/chip_20200101_S30_T40QGK_2019338T063231_13_3.tif,seg_map_20201101_S30_T42RTV_2020275T061659_10_6.tif
48,train/chips/chip_20200801_S30_T43REM_2020183T053649_2_4.tif,seg_map_20200301_S30_T39RVP_2020033T072119_0_7.tif
49,train/chips/chip_20210101_S30_T37RCH_2020335T080309_4_4.tif,seg_map_20201201_S30_T31SEV_2020305T103201_9_0.tif
50,train/chips/chip_20200301_S30_T40REP_2020031T064109_8_6.tif,seg_map_20210301_S30_T34PHT_2021031T084109_3_3.tif
51,train/chips/chip_20210201_S30_T37RBK_2021002T081239_12_9.tif,seg_map_20200101_S30_T35LKE_2019336T082219_13_3.tif
52,train/chips/chip_20201001_S30_T37PCR_2020247T074621_3_2.tif,seg_map_20200901_L30_T29RMK_2020216T111128_1_8.tif
53,train/chips/chip_20210301_S30_T39RVP_2021032T072131_1_4.tif,seg_map_20201201_S30_T34NEF_2020307T084119_11_11.tif
54,train/chips/chip_20200801_S30_T43REM_2020183T053649_2_5.tif,seg_map_20200301_S30_T42RWS_2020029T060059_1_6.tif
55,train/chips/chip_20200301_S30_T36NYP_2020032T075039_12_6.tif,seg_map_20200101_S30_T38NLG_2019338T072249_9_1.tif
56,train/chips/chip_20200801_S30_T31QEB_2020184T100559_12_6.tif,seg_map_20201201_S30_T33MUS_2020306T091129_3_9.tif
57,train/chips/chip_20200301_S30_T40QFL_2020031T064109_8_1.tif,seg_map_20200501_S30_T37RGM_2020092T074609_1_6.tif
58,train/chips/chip_20210101_S30_T35QNG_2020337T084329_1_13.tif,seg_map_20210101_S30_T37QGC_2020337T075311_0_10.tif
59,train/chips/chip_20200101_S30_T37QDU_2019337T075209_11_3.tif,seg_map_20200601_L30_T42SXB_2020124T054800_11_13.tif
60,train/chips/chip_20200601_L30_T39PTM_2020121T070159_2_2.tif,seg_map_20200301_L30_T41RLJ_2020031T062132_13_1.tif
61,train/chips/chip_20201201_S30_T36PVS_2020308T081109_4_4.tif,seg_map_20210301_L30_T35QPA_2021029T082711_8_12.tif
62,train/chips/chip_20210401_S30_T37REP_2021059T075849_7_13.tif,seg_map_20200501_S30_T41RPL_2020095T061629_11_5.tif
63,train/chips/chip_20201101_S30_T42RTV_2020275T061659_10_6.tif,seg_map_20200601_S30_T30NZN_2020122T102031_4_5.tif
64,train/chips/chip_20210201_S30_T37QEF_2021001T075331_0_8.tif,seg_map_20200101_S30_T40QGK_2019338T063231_13_3.tif
65,train/chips/chip_20201101_L30_T35LNH_2020278T081648_12_10.tif,seg_map_20210401_S30_T37QCA_2021059T075849_8_9.tif
66,train/chips/chip_20210201_S30_T38RLQ_2021003T074219_4_2.tif,seg_map_20200701_L30_T36KXF_2020156T074055_5_8.tif
67,train/chips/chip_20210301_L30_T36KXE_2021030T074131_5_3.tif,seg_map_20200101_S30_T38PKB_2019336T073251_14_6.tif
68,train/chips/chip_20210201_S30_T33RVP_2021004T094411_14_11.tif,seg_map_20200801_S30_T31QEB_2020184T100559_12_6.tif
69,train/chips/chip_20200101_L30_T37QGB_2019336T073731_7_11.tif,seg_map_20200301_S30_T36NYP_2020032T075039_12_6.tif
70,train/chips/chip_20200701_S30_T43RCM_2020153T053649_4_10.tif,seg_map_20200801_S30_T38PMB_2020186T072619_6_4.tif
71,train/chips/chip_20200801_S30_T32QKH_2020186T100031_0_14.tif,seg_map_20210101_S30_T35QNG_2020337T084329_1_13.tif
72,train/chips/chip_20201001_L30_T34JFM_2020246T082213_10_14.tif,seg_map_20200101_S30_T37QDU_2019337T075209_11_3.tif
73,train/chips/chip_20200401_L30_T42RXR_2020060T054943_0_3.tif,seg_map_20210401_S30_T37REP_2021059T075849_7_13.tif
74,train/chips/chip_20210101_S30_T37QGC_2020337T075311_0_10.tif,seg_map_20200701_S30_T30QWG_2020153T103629_12_14.tif
75,train/chips/chip_20201001_S30_T37QFC_2020247T074621_10_10.tif,seg_map_20200401_S30_T40RBQ_2020062T065801_2_4.tif
76,train/chips/chip_20200301_L30_T41RLJ_2020031T062132_13_1.tif,seg_map_20201001_L30_T35LPK_2020246T081614_6_0.tif
77,train/chips/chip_20200701_S30_T42RYN_2020151T054641_1_9.tif,seg_map_20200701_S30_T37MET_2020151T072621_3_9.tif
78,train/chips/chip_20200101_S30_T35LKE_2019336T082219_13_3.tif,seg_map_20210201_S30_T37RBK_2021002T081239_12_9.tif
79,train/chips/chip_20200501_L30_T37PGL_2020092T073330_9_1.tif,seg_map_20200201_S30_T29PQM_2020003T104339_12_13.tif
